sentences,text,final_label
0,"If you love unagi (eel) on rice, you'll absolutely enjoy their version.",food
1,But it is definitely worth the wait.,service
3,Sometimes get the Pho w/ rare beef which is decent.,food
4,"Other items on this menu was a crab soup, duck and clams congee, 2 desserts (one chinese and one western) and free appetizers.",food
5,I visited the restaurant for lunch and arrived there just after 12.30pm on a Sunday.,other
6,This is one of those ones I should have done a long time ago.,other
7,They ended up giving me such a little portion of the avocado that I would skip it next time.,service
8,I have tried many butter chicken at different place but this place is the best.,food
9,"All of these meals are fairly priced, good tasting and a life saver restaurant to go to while staying at South Point because it can fulfill everyone's cravings with all the choices.",other
10,Great local spot for all you can eat sushi.,food
11,I get the vermicelli and spring rolls every time.,food
12,"I'd come back for drinks and their $5 snacks, but skip the brunch",food
13,I would've preferred a more perfect balance since you could barely taste the red peppers and caramelized onions.,food
14,"I did finally hear what he was saying, but I didn't understand some of the information.",service
15,With a share bottle of wine- I paid 60$+ with tip.,other
16,The fish was grilled instead of fried and it came with a side of black beans.,food
17,Overall it was a generally mediocre experience and definitely not worth a return visit.,service
18,"As to the variability in the food's quality some reviewers mention, I can only repeat what the other half has said:  the food has been consistently delicious.",food
19,- Oh and terrible tea!,food
21,Concept is cool but novelty wears off quickly.,ambiance
22,"The texture of their ramen noodles are good, not too soft/hard.",food
23,"By 12:58pm, edging on the one hour mark for brunch and still 'sans order' we got up to go pay and ask if we could have our order to go.",service
24,"We got there just before it opened, but their doors were open.",other
25,Then the person who took our order returned and the girl asked him if he wanted that one.,service
26,Everything is made fresh & you can custom order however you like.,service
27,"Also loved the gindara, aka broiled black cod with sweet miso glaze and green tea tiramisu.",food
28,"We had a new waitress yesterday who was sweet and adorable, Ashley?",service
29,Can't wait to go back to try their other stuff.,food
30,Great food.,food
31,It was far from where we stayed so a $20 uber ride combined with an subpar meal left me disappointed.,food
32,The menu had a good variety and the tea was very good.,food
33,I'm not lying when I say I felt my health was worse after eating here.,food
34,This place is always busy and thats always a sign of a good place to eat!,ambiance
35,Uh...not!,other
36,What a great fine !!,other
37,"After trying some of the appetizers, entrees, and desserts, I can confidently say I would come here again.",food
38,"I had chicken, cabbage and collard greed+injera, it was delicious but need more stronger flavor.",food
39,"Food was good, they have more than just eggs.",food
40,The food was delicious and satisfying.,food
41,My wife and I stopped for lunch and probably should have kept driving.,other
42,you couldn't pay me to set foot in this shady place...,ambiance
43,My margarita was good.,food
44,"However, I did not want the pre planned menu since I'm vegan .",food
45,Don't let the location or aesthetics of this place fool you...,ambiance
46,I was surprised by the low reviews.,other
47,Chicken Taragon salad is the best.,food
48,They serve the brisket either in slices or chopped up and it was recommended to order it sliced because it was a dryer batch than normal.,food
49,"With a generous amount of veggie, the meal still felt healthy.",food
50,This is one of my favorite 'celebration night out' places.,ambiance
51,This place does have potential.,other
52,Pretty nasty.,food
54,Fish was chewy and shrimp tempura in rolls tasted cold and stale.,food
55,I love the hash kitchen to the moon and back come one come all party over here the food is amazing.,food
56,He loves the fresh teas and the matcha slush.,food
57,wth!?,other
58,It also come with a bowl of rice.,food
59,"I'd been wanting to try the sandwiches here for awhile, given how interesting they looked compared to many other local sandwich shops.",food
60,It was just perfect!,other
61,We commented on the heat and she agreed: It's hotter in the dining room than the kitchen!,ambiance
62,Great service good food philly roll not the best but everything else good and good portion size,food
63,Awesome.,other
64,"Additionally, the portion size didn't justify the price point.",service
65,"Her and her husband recently started a lease, so anybody familiar with Dima's Tacos before might notice a difference in the menu and prices.",service
66,At least there was no television drone or crappy radio station playing.,ambiance
67,I am picky eater and had no problem finding something I liked.,food
68,We wanted fish.,food
69,"(although I did allow my husband to have a single taste...) My husband had the banana brulee, another really great dessert - he liked it a lot, but admitted mine was better.",food
70,"It looks like you're eating on the streets of Korea, it's so cute!",ambiance
71,"Asian One is okay, but it's just not to my liking.",other
72,The hostess was non responsive when we asked for a table for two.,service
73,Oh my goodness!,other
74,"All tables are taken and a line to order in a place that's tucked into a corner of a strip mall with absolutely no signage, I'm in!",service
75,"Also, the servers speak english, no worries.",service
76,My personal fave is the shrimp low mein!,food
77,"You order at the counter pay, seat yourself and wait for your tray of food to appear on the counter.",service
78,Loooooooove pizza crust.,food
79,In both selection and taste i would rate it poor.,food
80,"I enjoyed the spiciness and consistency of the darker salsa, but didn't like the taste as much.",food
81,She was absolutely awesome and on the spot.,service
82,I guess I will have to keep making that drive :(.,other
83,But what matters most is the food right??,food
84,If you venture into this gem on the strip be sure to share an order of the nachos.,food
85,Service - we love when we are remembered and the waitress automatically brings a bowl and silverware for the Little Guy.,service
86,The staff can be rude at times as well.,service
87,The miso soup was better than everything else.,food
88,I ordered the high priest and it was very good.,food
89,The best Mexican quesadilla I have ever had.,food
90,"I came here the first time about a year ago and thought is was decent, I came back again yesterday with the whole family and the quality seems to have went WAY down.",food
91,mind blown.,other
92,There is something for everyone!!,food
93,I ordered a burger and fries for only $6.99.,food
94,"I rarely venture away from Korea town for Korean eats, but I headed here with Eric L after Fabio N's recommendation that this place had killer bibimbap.",food
95,I'll take my money where it is appreciated.,service
96,"The rosemary chicken potato pizza, the veggie wedgie, the boom dip, the pizzooki....all equals amazingness.",food
97,Over salted food.,food
98,Service was friendly and decor pretty cool.,service
99,He came through the dining floor and offered me a beverage while I waited.,service
100,"Perfect strips of Octopus that had a grilled taste with a consistency of steak over a fris?©e, Meyer lemon sauce and dabs of balsamic.",food
101,Of course she did not answer so he text me back and said he would just come down to meet me in about 10 minutes.,other
102,"Bottle water for everyone, great touch.",service
103,The man who runs the restaurant is so friendly and always aims to serve.,service
104,"I ended up ordering the pappardelle with peperoncini and cauliflower and a glass of pinot grigio, a refreshing choice for the sticky weather outside.",food
105,It borders on the ghetto line.,ambiance
106,"-didn't refund the hair salad at the end need to be reminded 
-careless rice come with white plastic chip (see photo)
-poor personal hygiene come with hair ( see picture )
-bad service not even a singe sorry about the hair.",service
107,I have not seen or tasted anything much better at BBQ competitions.,food
108,"All the food is prepared already, so it's a matter of landing the plates.",service
109,I think prices have gone up slightly.,other
110,"It's an average BBQ joint that isn't bad, but isn't that good.",other
111,P.S.,other
112,"I have dined out enough to know to stagger my orders so that everything will arrive with proper time in between, but our entrees took almost 45 min.",service
113,Yum!,food
